    87/499     12.1G   0.03233   0.09088  0.006883    0.1301       109      1376    0.6085    0.4979     0.518    0.3023   0.04129    0.3975   0.02594
    88/499     12.1G   0.03257   0.09224   0.00692    0.1317       373      1376    0.6093    0.4985    0.5182     0.303    0.0412    0.3963    0.0257
    89/499     12.1G   0.03246    0.0937   0.00693    0.1331       314      1376    0.6221    0.4908    0.5195    0.3041   0.04125    0.3955   0.02578
    90/499     12.1G   0.03239   0.09303  0.006884    0.1323        89      1376    0.6322    0.4871    0.5181    0.3042   0.04122    0.3958   0.02565
    91/499     12.1G   0.03219    0.0918  0.006801    0.1308        78      1376    0.6152    0.4991    0.5191    0.3041   0.04121    0.3975   0.02564
    92/499     12.1G   0.03225   0.09163  0.006767    0.1307       291      1376    0.6031     0.508    0.5207    0.3051   0.04119    0.3964   0.02578
    93/499     12.1G   0.03245   0.09385  0.006778    0.1331        79      1376    0.5873    0.5187     0.521    0.3057   0.04107    0.3967   0.02562
    94/499     12.1G   0.03235   0.09281  0.006908    0.1321       273      1376    0.5866    0.5235    0.5238    0.3072   0.04112    0.3956    0.0256
    95/499     12.1G   0.03228   0.09136  0.006815    0.1305       199      1376    0.6096    0.5069    0.5243    0.3078    0.0411    0.3955   0.02569
    96/499     12.1G   0.03221   0.09188  0.006816    0.1309       361      1376    0.6087     0.511    0.5245     0.308   0.04105    0.3954   0.02566
    97/499     12.1G   0.03215   0.09217  0.006787    0.1311       190      1376     0.603    0.5177    0.5252    0.3088   0.04102    0.3953   0.02556
    98/499     12.1G     0.032   0.09181  0.006605    0.1304       567      1376    0.6084    0.5182    0.5255    0.3089   0.04097    0.3955   0.02531
    99/499     12.1G   0.03193   0.08988  0.006605    0.1284       199      1376    0.6046    0.5194    0.5259     0.309   0.04097    0.3954   0.02541
   100/499     12.1G   0.03232   0.09258  0.006734    0.1316       195      1376    0.6124    0.5155    0.5266    0.3091   0.04094    0.3955   0.02538
   101/499     12.1G   0.03224   0.09117  0.006761    0.1302       219      1376    0.6015     0.522    0.5282      0.31   0.04088     0.395   0.02545
   102/499     12.1G   0.03209   0.09129  0.006723    0.1301       261      1376    0.6082    0.5176    0.5282    0.3098   0.04087     0.395    0.0256
   103/499     12.1G   0.03192    0.0918   0.00654    0.1303       162      1376    0.6082    0.5179    0.5281    0.3103    0.0408    0.3956   0.02559
   104/499     12.1G   0.03199   0.09136  0.006645      0.13       342      1376    0.5945    0.5254     0.528    0.3108   0.04076    0.3958   0.02562
   105/499     12.1G   0.03195    0.0911  0.006669    0.1297       613      1376    0.6221    0.5084    0.5281    0.3107   0.04077    0.3966   0.02552
   106/499     12.1G   0.03193   0.09111  0.006555    0.1296       315      1376    0.6015    0.5227    0.5295    0.3113   0.04078    0.3962   0.02553
   107/499     12.1G   0.03176   0.09207  0.006534    0.1304       221      1376     0.616    0.5117    0.5291    0.3111   0.04077     0.396    0.0255
   108/499     12.1G   0.03182   0.09188  0.006503    0.1302       217      1376    0.6165    0.5132    0.5298    0.3122   0.04074    0.3965   0.02558
   109/499     12.1G   0.03179    0.0903  0.006592    0.1287       133      1376    0.6069    0.5213    0.5302     0.312   0.04067    0.3972   0.02563
   110/499     12.1G   0.03177   0.09106  0.006579    0.1294       105      1376    0.6205    0.5127    0.5296    0.3122   0.04063    0.3969    0.0256
   111/499     10.2G   0.03187    0.0912  0.006568    0.1296       234      1376    0.6134    0.5189    0.5294     0.312   0.04063    0.3971   0.02554
   112/499     10.2G   0.03182   0.09087  0.006529    0.1292       376      1376    0.5917    0.5344    0.5308    0.3131   0.04062    0.3973   0.02558
   113/499     10.2G   0.03165      0.09  0.006445    0.1281       499      1376    0.6135    0.5198    0.5317    0.3131    0.0406    0.3979   0.02553
   114/499     10.2G   0.03166   0.08982  0.006409    0.1279       113      1376    0.5949     0.536    0.5319    0.3136   0.04058    0.3985   0.02552
   115/499     10.2G   0.03169   0.09148   0.00644    0.1296       205      1376    0.5966    0.5342    0.5321    0.3139   0.04056    0.3985   0.02554
   116/499     10.2G   0.03158   0.09091  0.006415    0.1289       122      1376     0.606    0.5252    0.5319     0.314   0.04054    0.3983   0.02558
   117/499     10.2G   0.03155   0.08964  0.006418    0.1276       306      1376    0.6091    0.5257    0.5327    0.3141    0.0405    0.3986   0.02558
   118/499     10.2G   0.03165   0.08955  0.006308    0.1275       176      1376    0.6129    0.5225    0.5334    0.3148   0.04048    0.3989   0.02562
   119/499     10.2G   0.03146   0.09101   0.00638    0.1289       173      1376    0.6153    0.5217    0.5338    0.3151   0.04045    0.3989   0.02563
   120/499     10.2G   0.03147   0.09061  0.006288    0.1284        78      1376    0.5986    0.5332    0.5336    0.3156   0.04041    0.3991   0.02557
   121/499     10.2G   0.03148   0.08963  0.006311    0.1274       198      1376    0.6002    0.5309    0.5335    0.3153   0.04038     0.399   0.02557
   122/499     10.4G   0.03146   0.08953  0.006276    0.1273       208      1376    0.5998    0.5333    0.5345    0.3159   0.04034    0.3991   0.02562
   123/499     10.4G   0.03155   0.09009  0.006338     0.128       276      1376    0.6123    0.5241     0.535    0.3161   0.04033    0.3993   0.02566
   124/499     10.4G   0.03137   0.09011   0.00613    0.1276       137      1376    0.6089    0.5262    0.5352    0.3166   0.04033    0.3993   0.02569
   125/499     10.4G   0.03121   0.08995  0.006246    0.1274       295      1376    0.6131    0.5228    0.5361    0.3172   0.04031    0.3989   0.02569
   126/499     10.4G   0.03136   0.08957  0.006223    0.1272       309      1376    0.6099    0.5249    0.5359    0.3172   0.04028     0.399   0.02566
